name,abbr_name,club,age,height,weight,wingspan,length,bmi,headshot,logo
Cooper Flagg,C. Flagg,Duke,18.5,"6'7.75""",221 lbs,"7'0""",4.25,24.400000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5041939.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Dylan Harper,D. Harper,Rutgers,19.300000000000001,"6'4.5""",213 lbs,"6'10.5""",6,25.600000000000001,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5037871.png,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png
VJ Edgecombe,V. Edgecombe,Baylor,19.900000000000002,"6'4""",193 lbs,"6'7.5""",3.5,23.5,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5124612.png,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Ace Bailey,A. Bailey,Rutgers,18.900000000000002,"6'7.5""",203 lbs,"7'0.5""",5,22.600000000000001,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4873138.png,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png
Khaman Maluach,K. Maluach,Duke,18.800000000000001,"7'0.75""",253 lbs,"7'6.75""",6,24.800000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5203685.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Collin Murray-Boyles,C. Murray-Boyles,South Carolina,20,"6'6.5""",239 lbs,"7'0.75""",6.25,27.300000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5093267.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
Kon Knueppel,K. Knueppel,Duke,19.900000000000002,"6'5""",219 lbs,"6'6.25""",1.25,26,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5061575.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Tre Johnson,T. Johnson,Texas,19.300000000000001,"6'4.75""",190 lbs,"6'10.25""",5.5,22.700000000000003,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5238230.png,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png
Derik Queen,D. Queen,Maryland,20.5,"6'9.25""",248 lbs,"7'0.5""",3.25,26.400000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4869780.png,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Jeremiah Fears,J. Fears,Oklahoma,18.699999999999999,"6'2.5""",180 lbs,"6'5.25""",2.75,22.800000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5144091.png,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png
Kasparas Jakucionis,K. Jakucionis,Illinois,19.100000000000001,"6'4.75""",205 lbs,"6'7.75""",3,24.5,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5214640.png,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Noa Essengue,N. Essengue,Ratiopharm Ulm,18.5,"6'10""",204 lbs,"7'0.75""",2.75,21.300000000000001,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/noa-essengue-copie-1efa9906-9bc7-6e94-8e05-5b8404dd2f86.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Ratiopharm_Ulm_logo.svg/1200px-Ratiopharm_Ulm_logo.svg.png
Jase Richardson,J. Richardson,Michigan State,19.700000000000003,"6'0.5""",178 lbs,"6'6""",5.5,23.800000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5239561.png,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png
Thomas Sorber,T. Sorber,Georgetown,18.5,"6'9.25""",263 lbs,"7'6""",8.75,28,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5061603.png,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png
Asa Newell,A. Newell,Georgia,19.700000000000003,"6'9""",224 lbs,"6'11.25""",2.25,24,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4873201.png,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Carter Bryant,C. Bryant,Arizona,19.600000000000001,"6'6.5""",215 lbs,"6'11.75""",5.25,24.5,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5061568.png,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Nique Clifford,N. Clifford,Colorado State,23.400000000000002,"6'5.25""",202 lbs,"6'8""",2.75,23.800000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702384.png,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Noah Penda,N. Penda,Le Mans Sarte,20.5,"6'7.25""",242 lbs,"6'11.5""",4.25,27.100000000000001,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/noah-penda-buste2-1ef7cfc3-4739-6918-bcd6-fbc1555afb61.png,https://upload.wikimedia.org/wikipedia/en/d/d9/Le_Mans_Sarthe_Basket_logo_2009.png
Rasheer Fleming,R. Fleming,Saint Joseph's,21,"6'8.25""",232 lbs,"7'5.25""",9,25.300000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5105977.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2603.png
Egor Demin,E. Demin,BYU,19.300000000000001,"6'8.25""",199 lbs,"6'10.25""",2,21.700000000000003,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5243213.png,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png
Will Riley,W. Riley,Illinois,19.400000000000002,"6'8.25""",186 lbs,"6'8.75""",0.5,20.300000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5144126.png,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Liam McNeeley,L. McNeeley,UConn,19.700000000000003,"6'6.75""",215 lbs,"6'8.5""",1.75,24.400000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5239590.png,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
Labaron Philon,L. Philon,Alabama,19.100000000000001,"6'3""",175 lbs,"6'8""",5,21.900000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4873090.png,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Yaxel Lendeborg,Y. Lendeborg,UAB,19.200000000000003,"6'6""",199 lbs,"6'8.75""",2.75,23,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5175737.png,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png
Nolan Traore,N. Traore,Saint-Quentin,23.300000000000001,"6'3.25""",202 lbs,"6'6""",2.75,25.100000000000001,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/nolan-traore-copie-1efa8448-8031-68c4-ad8a-f11109b883b6.png,https://upload.wikimedia.org/wikipedia/en/1/19/Saint-Quentin_Basketball_logo.png
Ben Saraf,B. Saraf,Ratiopharm Ulm,22.300000000000001,"6'2""",199 lbs,"6'4""",2,25.5,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/ben-saraf-1ef52a2e-7e7a-66f8-b118-bf0b07cf5094.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Ratiopharm_Ulm_logo.svg/1200px-Ratiopharm_Ulm_logo.svg.png
Kam Jones,K. Jones,Marquette,21.100000000000001,"6'10.5""",252 lbs,"7'2.25""",3.75,26,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4697268.png,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png
Walter Clayton Jr.,W. Clayton Jr.,Florida,19.400000000000002,"6'6.26""",223 lbs,"6'10.75""",4.4899999999999949,25.600000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4896372.png,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Danny Wolf,D. Wolf,Michigan,21.100000000000001,"6'6.25""",218 lbs,"7'0""",5.75,25,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107173.png,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Hugo Gonzalez,H. Gonzalez,Real Madrid,23.400000000000002,"7'1""",257 lbs,"7'6""",5,25,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/hugo-gonzalez-1ee67bd1-31b3-6780-b4a8-73a6bfd05a25.jpg,https://static0.givemesportimages.com/wordpress/wp-content/uploads/2024/08/real-madrid-logo-resized.png
Adou Thiero,A. Thiero,Arkansas,22,"6'9""",215 lbs,"7'0""",3,23,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5060631.png,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Tahaad Pettiford,T. Pettiford,Auburn,22.900000000000002,"6'9.25""",249 lbs,"7'0.25""",3,26.5,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4873089.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Miles Byrd,M. Byrd,San Diego State,18.600000000000001,"6'11""",230 lbs,"7'5""",6,23.5,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107804.png,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png
Ryan Kalkbrenner,R. Kalkbrenner,Creighton,19.900000000000002,"6'10.5""",213 lbs,"6'11.5""",1,22,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4576060.png,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png
Thomas Haugh,T. Haugh,Florida,22.600000000000001,"6'6.5""",219 lbs,"6'11""",4.5,25,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5080489.png,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Johni Broome,J. Broome,Auburn,22.200000000000003,"7'0.25""",237 lbs,"7'1.25""",1,23.5,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433569.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Joan Beringer,J. Beringer,Cedevita Olimpija,21.200000000000003,"6'4.25""",183 lbs,"6'7.25""",3,22.100000000000001,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/joan-beringer2-1ef7b527-0c8f-6b16-a1f2-a9cebb64ebd2.png,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/Cedevita_Olimpija_Ljubljana_logo.png/200px-Cedevita_Olimpija_Ljubljana_logo.png
Bogoljub Markovic,B. Markovic,Mega Basket,21.100000000000001,"6'7.75""",223 lbs,"6'10.75""",3,24.600000000000001,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/bogoljub-markovic-1efbca8c-bb9f-6150-8db5-0380546365de.png,https://upload.wikimedia.org/wikipedia/en/d/da/Mega-logo-2020.png
Alex Karaban,A. Karaban,UConn,19.600000000000001,"6'6""",175 lbs,"6'10""",4,20.200000000000003,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4917149.png,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
Isaiah Evans,I. Evans,Duke,23.5,"6'3.75""",206 lbs,"6'9""",5.25,25.200000000000003,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5061585.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Maxime Raynaud,M. Raynaud,Stanford,24,"6'5""",215 lbs,"6'11.25""",6.25,25.5,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4898371.png,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png
Tyrese Proctor,T. Proctor,Duke,21.800000000000001,"6'5.25""",213 lbs,"7'2.25""",9,25.100000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5023693.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Alex Toohey,A. Toohey,Sydney Kings,22.600000000000001,"6'5.75""",210 lbs,"6'10.5""",4.75,24.400000000000002,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/alex-toohey-1ee687f2-f19f-60b2-acfa-f175a43c279f.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Sydney_Kings_logo.svg/1200px-Sydney_Kings_logo.svg.png
Alex Condon,A. Condon,Florida,19.300000000000001,"6'6.25""",201 lbs,"6'9.75""",3.5,23.100000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5174657.png,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Boogie Fland,B. Fland,Arkansas,19.900000000000002,"6'11""",220 lbs,"7'2""",3,22.400000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5238195.png,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Milos Uzan,M. Uzan,Houston,22.300000000000001,"6'11.25""",243 lbs,"7'3.25""",4,24.600000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106272.png,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Sergio De Larrea,S. De Larrea,Valencia,23.900000000000002,"6'6.25""",212 lbs,"6'7.25""",1,24.300000000000001,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/sergio-de-larrea-asenjo-copie-1efbca39-23ba-69d2-83c6-8b55c6279ffa.png,https://lh5.googleusercontent.com/proxy/bREd3-sDKBDhoRgsvL-iw4nqzVmJ3Qiq_p71rxjqNw3j2hVD0JX0nOTrX4fmyx4wQ18LM0NCo942EW5U3p1VIGhBpEg
Chaz Lanier,C. Lanier,Tennessee,22.600000000000001,"6'4.5""",218 lbs,"6'6.5""",2,26.200000000000003,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4700852.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
Jamir Watkins,J. Watkins,Florida State,22.5,"6'1""",190 lbs,"6'4.75""",3.75,25.100000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4606840.png,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Cedric Coward,C. Coward,Washington State,22.600000000000001,"6'5.75""",202 lbs,"6'5.25""",-0.5,23.5,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4903027.png,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png
RJ Luis Jr.,R. Luis Jr.,St. John's,23.400000000000002,"7'0""",262 lbs,"7'5""",5,26.100000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106035.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png
Dink Pate,D. Pate,G-League Capitanes,19.800000000000001,"6'5.25""",200 lbs,"7'0""",6.75,23.600000000000001,https://www.rocnation.com/wp-content/uploads/2024/11/Dink-Pate-HEAD-e1732654996462.jpeg,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Capitanes_Ciudad_de_M%C3%A9xico_logo.svg/640px-Capitanes_Ciudad_de_M%C3%A9xico_logo.svg.png
Darrion Williams,D. Williams,Texas Tech,22.900000000000002,"6'7""",215 lbs,"6'8""",1,24.200000000000003,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4937074.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
Johann Grunloh,J. Grunloh,Rasta Vechta,23.5,"6'1.5""",208 lbs,"6'7.5""",6,27.100000000000001,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/johann-grunloh-1ef7d159-24ac-687c-a425-9b56fba6877f.png,https://www.proballers.com/api/getTeamLogo?id=14896&width=300
Yanic Konan Niederhauser,Y. Niederhauser,Penn State,23,"6'4.25""",206 lbs,"6'5.75""",1.5,24.900000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5108024.png,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png
Micah Peavy,M. Peavy,Georgetown,24.700000000000003,"6'7""",203 lbs,"6'8.25""",1.25,22.900000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432185.png,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png
Sion James,S. James,Duke,22.200000000000003,"6'3.75""",181 lbs,"6'10""",6.25,22.200000000000003,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4602025.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Javon Small,J. Small,West Virginia,24.200000000000003,"6'4.75""",212 lbs,"6'9""",4.25,25.300000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4781746.png,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png
Koby Brea,K. Brea,Kentucky,20,"7'1""",253 lbs,"7'2.75""",1.75,24.600000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4591259.png,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
Amari Williams,A. Williams,Kentucky,22.300000000000001,"5'11""",176 lbs,"6'2.25""",3.25,24.5,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702745.png,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
Drake Powell,D. Powell,North Carolina,24.400000000000002,"6'7.5""",259 lbs,"6'11.5""",4,28.800000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5037873.png,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
Karter Knox,K. Knox,Arkansas,24,"6'5.25""",206 lbs,"6'10.75""",5.5,24.300000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4869777.png,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Payton Sandfort,P. Sandfort,Iowa,20,"6'9.25""",220 lbs,"7'1.75""",4.5,23.400000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4697270.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Alijah Martin,A. Martin,Florida,23.300000000000001,"5'10.75""",183 lbs,"6'2""",3.25,25.700000000000003,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702656.png,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Max Shulga,M. Shulga,VCU,19,"7'3""",257 lbs,"7'4.75""",1.75,23.900000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701992.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png
Kobe Sanders,K. Sanders,Nevada,20.400000000000002,"6'9""",223 lbs,"7'4.25""",7.25,23.900000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702352.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
Hunter Sallis,H. Sallis,Wake Forest,24.100000000000001,"7'0""",253 lbs,"7'5.25""",5.25,25.200000000000003,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433281.png,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png
Otega Oweh,O. Oweh,Kentucky,23.300000000000001,"6'10""",230 lbs,"7'0""",2,24,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106270.png,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
John Tonje,J. Tonje,Wisconsin,22.200000000000003,"6'6.25""",203 lbs,"6'10.25""",4,23.300000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593043.png,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png
Hansen Yang,H. Yang,Qingdao,22.300000000000001,"6'10""",235 lbs,"7'3""",5,24.600000000000001,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/1-1f030e9f-b15e-67fa-b0a4-3b903924e9d0.png,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Qingdao_Eagles.svg/1200px-Qingdao_Eagles.svg.png
Ryan Nembhard,R. Nembhard,Gonzaga,23.900000000000002,"6'11.5""",252 lbs,"7'1.5""",2,25.400000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433629.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png
Eric Dixon,E. Dixon,Villanova,22.5,"6'1""",190 lbs,"6'4.75""",3.75,25.100000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431718.png,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png
Brice Williams,B. Williams,Nebraska,21.5,"6'8.75""",230 lbs,"6'11.25""",2.5,24.800000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592843.png,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png
Michael Ruzic,M. Ruzic,Joventut Badalona,,,,,,,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/michael-ruzic2-1ef7cde9-ad11-6ef6-a00c-2513aaa6ada7.png,https://www.proballers.com/api/getTeamLogo?id=154&width=300
Izan Almansa,I. Almansa,Perth,,,,,,,https://res.cloudinary.com/djcqmdgda/image/upload/nba/prospects/headshots/108205.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Perth_Wildcats_logo.svg/1200px-Perth_Wildcats_logo.svg.png
Mark Sears,M. Sears,Alabama,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4703530.png,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Rocco Zikarsky,R. Zikarsky,Brisbane,,,,,,,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/rocco-zikarsky-1ee690aa-1547-6266-9d4b-e56cc6d7665f.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Brisbane_Bullets_logo.svg/1200px-Brisbane_Bullets_logo.svg.png
Mouhamed Faye,M. Faye,Reggio Emilia,,,,,,,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/mouhamed-faye-1ef9c597-50ee-6802-87ed-4115178f6aa7.png,https://upload.wikimedia.org/wikipedia/en/e/e0/Pallacanestro_Reggiana_logo.png
Vladislav Goldin,V. Goldin,Michigan,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4700818.png,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Neoklis Avdalas,N. Avdalas,Peristeri,,,,,,,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/neoklis-avdalas-1ef52926-89aa-6c3e-8756-ab2bb57205aa.png,https://www.proballers.com/api/getTeamLogo?id=186&width=300
Grant Nelson,G. Nelson,Alabama,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702670.png,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Jalon Moore,J. Moore,Oklahoma,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701819.png,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png
Jacksen Moni,J. Moni,North Dakota State,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5241639.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png
Mackenzie Mgbako,M. Mgbako,Indiana,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683779.png,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Viktor Lakhin,V. Lakhin,Clemson,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701192.png,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Javon Small,J. Small,West Virginia,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4781746.png,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png
Lachlan Olbrich,L. Olbrich,Illawarra,,,,,,,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/lachlan-olbrich-copie-1efb5a51-eb46-62d8-994e-950829766a5a.png,https://upload.wikimedia.org/wikipedia/en/f/f8/Illawarra_Hawks.png
,,,,,,,,,,

