prospect,nationality,birthday,current_club,club_years,height_in,weight_lbs,wingspan,combine_confirmed_flag,headshot_img
Darryn Peterson,United States of America,1-17-2007,Kansas,1,77,"6'5""",,,https://kuathletics.com/images/2025/6/12/Peterson_Darryn_0042_FdCIa.jpg
Cameron Boozer,United States of America,7-18-2007,Duke,1,80,"6'8""",,,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/cameron-boozer-1ef363c6-8ec1-64e2-bc2d-8583069a06cf.png
AJ Dybantsa,United States of America,1-29-2007,BYU,1,81,"6'9""",,,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/1-1f0538fd-c56a-67f0-8c4c-4ba96679a057.png
Nate Ament,United States of America,12-10-2006,Tennessee,1,82,"6'10""",,,https://media.fanstake.com/images/athletes/headshots/custom/95b9land8ej1.png
Mikel Brown Jr.,United States of America,4-03-2006,Louisville,1,76,"6'4""",,,https://www.usab.com/imgproxy/di_1ArdXIJIg5MhQfozYbo14qTKHn-r8pkPUMr4t1TY/rs:fit:3000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3VzYWItY29tLXByb2QvdXBsb2FkLzIwMjUvMDYvMjQvZGM4YTljZTQtMzg3Yi00ZjQxLTg1ZTItNWM1NjQ3ZGNkNTBkLnBuZw.png
Dame Sarr,Italy,6-04-2006,Duke,1,79,"6'7""",,,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/d-sarre-2-1ef83e7c-b9c3-6876-9a7a-0158c49e6797.png
Meleek Tomas,United States of America,8-06-2006,Arkansas,1,#VALUE!,,,,https://images.overtime.tv/ote-games/e3008e5d-0f63-423a-abbc-49f9bbacc2e0/8a78bd16-42ce-462f-80db-754d383778c4.webp
Tounde Yessoufou,Benin,5-15-2006,Baylor,1,77,"6'5""",,,https://s3media.247sports.com/Uploads/Assets/325/823/11823325.jpeg
Caleb Wilson,United States of America,7-18-2006,North Carolina,1,80,"6'8""",,,https://s3media.247sports.com/Uploads/Assets/982/434/12434982.jpeg
Karim Lopez,Mexico,4-12-2007,New Zealand Breakers,1,80,"6'8""",,,"https://assets.fiba.basketball/image/upload/w_2800/c_pad,ar_12:10/c_pad,ar_10:12/ar_10:12,c_crop,g_face,z_0.25/e_trim/c_lpad,ar_1:1/w_2800/w_2200,h_2000,c_crop,x_300/w_300,c_fill/q_auto/f_auto/.headshot--person_318396--competition_208755?buster=20274"
Jayden Quaintance,United States of America,7-11-2007,Kentucky,1,80,"6'8""",,,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5101845.png
Chris Cenac Jr.,United States of America,2-01-2007,Houston,1,82,"6'10""",,,https://www.usab.com/imgproxy/g4boiXvIb11NDZcReqVMX36_y8hgPIbMlqMqr2EO6DY/rs:fit:3000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3VzYWItY29tLXByb2QvdXBsb2FkLzIwMjUvMDQvMTAvM2RmOTFhNmUtMTI5ZC00ZTQ2LTg3YjgtYjIyOGQzYmU3MmMxLnBuZw.png
Dash Daniels,Australia,12-18-2007,Melbourne United,1,78,"6'6""",,,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/dash-daniels-1f058f15-3366-6f3e-b526-ebb695402656.png
Koa Peat,United States of America,1-20-2007,Arizona,1,79,"6'7""",,,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/koa-peat2-1ef363cc-5bd3-66ec-9cf2-1b98f0a1ee31.png
Bennett Stirtz,United States of America,10-03-2003,Iowa,3,76,"6'4""",,,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5241364.png
Nikolas Khamenia,United States of America,12-27-2006,Duke,1,80,"6'8""",,,https://www.nbadraft.net/wp-content/uploads/2023/06/Nikolas-Khamenia.png
Braylon Mullins,United States of America,4-18-2006,UConn,1,77,"6'5""",,,https://on3static.com/uploads/dev/assets/cms/2024/06/14091501/Braylon-Mullins.png
Yaxel Lendeborg,Puerto Rico,9-30-2002,Michigan,3,81,"6'9""",,,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175737.png
Darius Acuff,United States of America,11-16-2006,Arkansas,1,#VALUE!,,,,https://www.usab.com/imgproxy/oHk-8HsNmmKpg53HxT--ImhgxOYKlpqhlOBHuFz_u6o/rs:fit:3000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3VzYWItY29tLXByb2QvdXBsb2FkLzIwMjUvMDQvMTAvNTQxNGZjNGMtZjMzZi00Mjg1LWI0MWMtNTI5Nzk4M2I5OWQzLnBuZw.png
Sergio De Larrea,Spain,12-04-2005,Valencia Basket,2,77,"6'5""",,,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/sergio-de-larrea-asenjo-1efbca39-6164-62e2-bef7-651c2c2caa84.png
Isaiah Evans,,,,,,,,,
Brayden Burries,,,,,,,,,
Cayden Boozer,,,,,,,,,
Tahaad Pettiford,,,,,,,,,
Zai Harwell,,,,,,,,,
Labaron Philon,,,,,,,,,
Aday Mara,,,,,,,,,
Tarris Reed Jr.,,,,,,,,,
JoJo Tugler,,,,,,,,,
Alijah Arenas,,,,,,,,,
Karter Knox,,,,,,,,,
Andrej Kostic,,,,,,,,,
Alex Condon,,,,,,,,,
Isaiah Harwell,,,,,,,,,
Ognjen Srzentic,,,,,,,,,
Patrick Ngongba,,,,,,,,,
Hannes Stenbach,,,,,,,,,
Motiejus Krivas,,,,,,,,,
Alvaro Folguerias,,,,,,,,,
Thomas Haugh
